competent	adj. 能胜任的，有能力的
compact	adj. 紧密的，紧凑的
defy	v. 违背，违抗
spoil	v. 溺爱
rustle	v. 发出沙沙声
diversion	n. 转移；娱乐
honorary	adj. 荣誉的
chronic	adj. 长期的；慢性的
extracurricular	adj. 课外的
inexhaustible	adj. 用不完的，无穷无尽的
inevitable	adj. 不可避免的
contamination	n. 污染
imminent	adj. 即将来临的
tuition	n. 学费
esteem	v. 尊重
incorporate	v. 合并
prevail	v. 流行，普遍
irrational	adj. 不合理的，不理性的
inherent	adj. 固有的
overexcited	adj. 过于激烈的
exotic	adj. 异域的，外国的
stockbroker	n. 股票经理人
prosperity	n. 繁荣
outnumber	v. 超过
fluctuate	v. 波动
substance	n. 物质
markedly	adv. 显著地
bleak	adj. 荒凉的
foster	v. 促进；培养
harsh	adj. 严酷的，严峻的
controversy	n. 争议
cornerstone	n. 基石
erect	v. 建立
prematurely	adv. 早熟地，过早地
initiative	n. 主动性
dilute	v. 稀释，冲淡
stray	n. 走失[流浪]的动物
affiliation	n. 隶属关系，单位团体
counterpart	n. 对等物
outlive	v. 比……活的时间长
outweigh	v. 超过
conservative	adj. 保守的
unintentionally	adv. 无意地
polar	adj. 极地的
integral	adj. 必需的，不可缺少的
affiliate	v. 使隶属于
irrigation	n. 灌溉
decisive	adj. 决定性的
ideological	adj. 意识形态的
neighborhood	n. 附近
preindustrial	adj. 工业化以前的
furnish	v. 提供
scarcity	n. 缺乏
misled	v. (mislead过去式)误导
intervene	v. 干涉
bureaucracy	n. 官僚主义
recruiter	n. 招聘者
endorsement	n. 支持
consultancy	n. 咨询公司
undermine	v. 削弱
consent	n. 同意
premium	n. 〔尤指每年缴付的〕保险费
concrete	adj. 具体的
prompt	v. 促使
conformity	n. 一致
inaction	n. 不作为
trim	v. 修剪
monopolize	v. 垄断
workload	n. 工作量
underrepresented	adj. 未被充分代表的
regime	n. 制度，管理体制
bizarre	adj. 古怪的；奇怪的
deforestation	n. 砍伐森林
hazard	n. 危险
considerable	adj. 相当多的
dispensable	adj. 可有可无的
insurer	n. 保险公司；承保人
overstate	v. 夸张
agony	n. 痛苦
obscurity	n. 默默无闻
severity	n. 严重性
inanimate	adj. 无生命的
baffle	v. 使迷惑，困惑
disposal	n. 处理；支配
authorities	n. 当局
chronicle	v. 记录
shade	v. 为…遮阳[挡光]，遮蔽〔光线〕
strain	n. 压力
municipal	adj. 市政府的
ideologically	adv. 意识形态上地
robust	adj. 强健的
definite	adj. 一定的，确切的
collide	v. 撞击，碰撞
industrious	adj. 勤奋的
prevalence	n. 流行，普遍
exert	v. 施加
tempting	adj. 吸引人的
appropriation	n. 挪用
furious	adj. 生气的；激烈的
deprivation	n. 剥夺，匮乏
designate	v. 指定，委派
expertise	n. 专业知识
vessel	n. 血管
ventilate	v. 使通风
trade-off	n. 权衡，交易
legislation	n. 立法
turbulent	adj. 动荡的，骚乱的
expel	v. 开除，驱逐
carpenter	n. 木匠
hasty	adj. 匆忙的
unprecedented	adj. 史无前例的
successively	adv. 接连着地，继续地
elaborately	adv. 复杂地，精心设计地
faculty	n. 〔大学的〕全体教员
render	v. 给予
portray	v. 描述
lawn	n. 草坪
transcend	v. 超越
derive	v. 获得
incidence	n. 发生率
perpetual	adj. 永久的
vice	n. 恶习
enviable	adj. 值得羡慕的
monopoly	n. 垄断
interfere	adj. 干涉；妨碍
contestant	n. 参赛者
chronically	adv. 慢性地；持久地
prolonged	adj. 长时间的
compelling	adj. 引人注目的
immensely	adv. 非常，极大地
permeate	v. 渗透
erroneous	adj. 错误的
compartment	n. 车厢, 隔间
metropolitan	adj. 大都市的
inescapable	adj. 不可避免的
harness	v. 利用，控制
variance	n. 不同
linger	v. 逗留，徘徊
astronomical	adj. 天文数字的
coordination	n. 协调；（肌肉的）协调
inquire	v. 询问
overwhelming	adj. 压倒性的
handle	n. 把手
revive	v. 复兴；复苏
vulnerable	adj. 脆弱的, 易受影响的
diminish	v. 减少
reconcile	v. 使一致；使和解，调解
confrontational	adj. 对抗的，有敌意的
row	v. 划船
hostile	adj. 有敌意的
console	v. 安慰
discern	v. 识别
judicial	adj. 司法的
impair	v. 损害
payroll	n. 工资总额
hasten	v. 加速
intertwine	v. 交织，纠缠
prescribe	v. 开处方
endure	v. 忍受
jury	n. 陪审团
sector	n. 部门
hazardous	adj. 危险的
deprive	v. 剥夺
constrain	v. 限制
conscientious	adj. 有良心的，认真负责的
concession	n. 妥协
penalty	n. 惩罚
soothe	v. 安慰，减轻
entail	v. 使需要，使必须
burial	n. 埋葬
submerge	v. 淹没
decent	adj. 像样的；正派的，规矩的
fixture	n. 固定装置
scent	n. 香味
subsidy	n. 补助
tedious	adj. 冗长的
subordinate	adj. 从属的；次要的
reimbursement	n. 返还费用
cumulative	adj. 积累的
lofty	adj. 高耸的；崇高的
confer	v. 授予
keen	adj. 敏锐的；浓厚的
enforce	v. 强迫，迫使
eccentric	adj. 古怪的
neglect	v. 疏忽；忽视
indiscriminately	adv. 不加选择地，不加区分地
resolute	adj. 坚定的
indicative	adj. 指示的
perish	v. 死亡
excessive	adj. 过度的
rigor	n. 严格，严谨
deficient	adj. 不足的，缺乏的
incompetence	n. 无能
entitle	v. 使具有资格
divert	v. 使转向；转移注意力
cultivate	v. 培养
fuss	n. 小题大做
contention	n. 争论
buck	v. 反对 n. 美元
reverse	adj. 相反的
provoke	v. 激怒
publicity	n. 宣传
incentive	n. 刺激
habitual	adj. 习惯的
sculpture	n. 雕塑
manuscript	n. 手稿
