consistent	adj. 一致的
battery	n. 电池
preserve	v. 保存，保护
possession	n. 拥有
proximately	adv. 近似，接近
wildfire	n. 野火
absolutely	adv. 当然
filter	v. 过滤
server	n. 服务器
complaint	n. 抱怨，投诉
merge	v. 合并
priceless	adj. 无价的，难以用价格衡量的
lobby	n. 游说
suspend	v. 暂停
obesity	n. 肥胖
aid	v. 援助，有助于
solution	n. 解决，解决方法；溶液
purchase	n. 购买
preference	n. 偏爱
evolution	n. 演变；发展；进化
misinterpret	v. 误解
tank	n. 水箱
outdated	adj. 过时的
supervisor	n. 督导
profitable	adj. 有利可图的，有利益的
ineffective	adj. 无效的
optimistic	adj. 乐观的
ultimate	adj. 最终的
consumption	n. 消耗；消费
receipt	n. 发票
misfortune	n. 不幸；灾祸，灾难
citation	n. 引文
rape	n. 强奸
ecological	adj. 生态学的
lag	v. 落后
viewpoint	n. 观点
typical	adj. 典型的
imbalance	n. 不平衡
classify	v. 分类
demonstration	n. 展示；游行
reservation	n. 预定
circumstance	n. 情况，环境
revolutionize	v. 革命化
cast	v. 投掷，扔
uncertain	adj. 不确定的
threat	n. 威胁
overestimate	v. 高估
documentary	n. 纪录片
relieve	v. 减轻，缓解
regardless	adv. 不管，不顾
pause	n. 暂停，迟疑
launch	v. 发布，推出
apartment	n. 公寓
spark	n. 火花
eliminate	v. 消除
opposition	n. 反对
guard	v. 保护
branch	n. 分支，分公司
stove	n. 炉子
memorable	adj. 值得纪念的
elimination	n. 消除，淘汰
revenue	n. 收入
displace	v. 取代
violation	n. 违反
calorie	n. 卡路里
fierce	adj. 激烈的
mention	v. 提及
extend	v. 延伸；延期
column	n. 专栏
analytical	adj. 分析的
figure	n. 数字
frighten	v. 使害怕
transform	v. 转变
vary	v. 变化
pattern	n. 模式
necessity	n. 必须，必要性
deny	v. 否认
drift	v. 漂流
dare	v. 勇敢，敢于做
constant	adj. 不断的
deposit	v. 存放 n. 存款
transmit	v. 传播，传导
resign	v. 辞职
respective	adj. 各自的
reunion	n. 团聚
interpretation	n. 解释，理解
facility	n. 设施
convert	v. 转换，改变
